"Step","experiment_12 - Training Accuracy / Epoch","experiment_12 - Training Accuracy / Epoch__MIN","experiment_12 - Training Accuracy / Epoch__MAX","experiment_11 - Training Accuracy / Epoch","experiment_11 - Training Accuracy / Epoch__MIN","experiment_11 - Training Accuracy / Epoch__MAX","experiment_10 - Training Accuracy / Epoch","experiment_10 - Training Accuracy / Epoch__MIN","experiment_10 - Training Accuracy / Epoch__MAX","experiment_9 - Training Accuracy / Epoch","experiment_9 - Training Accuracy / Epoch__MIN","experiment_9 - Training Accuracy / Epoch__MAX","experiment_8 - Training Accuracy / Epoch","experiment_8 - Training Accuracy / Epoch__MIN","experiment_8 - Training Accuracy / Epoch__MAX","experiment_7 - Training Accuracy / Epoch","experiment_7 - Training Accuracy / Epoch__MIN","experiment_7 - Training Accuracy / Epoch__MAX","experiment_6 - Training Accuracy / Epoch","experiment_6 - Training Accuracy / Epoch__MIN","experiment_6 - Training Accuracy / Epoch__MAX","experiment_5 - Training Accuracy / Epoch","experiment_5 - Training Accuracy / Epoch__MIN","experiment_5 - Training Accuracy / Epoch__MAX","experiment_4 - Training Accuracy / Epoch","experiment_4 - Training Accuracy / Epoch__MIN","experiment_4 - Training Accuracy / Epoch__MAX","experiment_3 - Training Accuracy / Epoch","experiment_3 - Training Accuracy / Epoch__MIN","experiment_3 - Training Accuracy / Epoch__MAX"
"125","8.378","8.378","8.378","8.59","8.59","8.59","9.45","9.45","9.45","10.118","10.118","10.118","9.078","9.078","9.078","9.332","9.332","9.332","9.224","9.224","9.224","9.048","9.048","9.048","9.318","9.318","9.318","9.166","9.166","9.166"
"131","9.076","9.076","9.076","8.778","8.778","8.778","9.746","9.746","9.746","10.21","10.21","10.21","9.414","9.414","9.414","9.508","9.508","9.508","9.676","9.676","9.676","9.308","9.308","9.308","9.652","9.652","9.652","9.896","9.896","9.896"
"137","9.326","9.326","9.326","9.032","9.032","9.032","9.978","9.978","9.978","10.448","10.448","10.448","9.728","9.728","9.728","9.796","9.796","9.796","10.168","10.168","10.168","9.508","9.508","9.508","9.732","9.732","9.732","10.318","10.318","10.318"
"143","9.59","9.59","9.59","9.214","9.214","9.214","10.306","10.306","10.306","10.596","10.596","10.596","10.104","10.104","10.104","10.242","10.242","10.242","10.466","10.466","10.466","9.918","9.918","9.918","10.226","10.226","10.226","10.584","10.584","10.584"
"149","10.232","10.232","10.232","9.582","9.582","9.582","10.602","10.602","10.602","10.946","10.946","10.946","10.354","10.354","10.354","10.744","10.744","10.744","10.956","10.956","10.956","10.356","10.356","10.356","10.412","10.412","10.412","11.08","11.08","11.08"
"155","10.458","10.458","10.458","9.8","9.8","9.8","11.022","11.022","11.022","11.132","11.132","11.132","10.444","10.444","10.444","11.032","11.032","11.032","11.194","11.194","11.194","10.528","10.528","10.528","10.606","10.606","10.606","11.08","11.08","11.08"
"161","10.718","10.718","10.718","10.026","10.026","10.026","11.486","11.486","11.486","11.152","11.152","11.152","10.912","10.912","10.912","11.606","11.606","11.606","11.578","11.578","11.578","10.858","10.858","10.858","10.764","10.764","10.764","11.404","11.404","11.404"
"167","11.182","11.182","11.182","10.22","10.22","10.22","11.866","11.866","11.866","11.566","11.566","11.566","11.176","11.176","11.176","11.924","11.924","11.924","11.774","11.774","11.774","11.054","11.054","11.054","10.92","10.92","10.92","11.82","11.82","11.82"
"173","11.438","11.438","11.438","10.524","10.524","10.524","12.194","12.194","12.194","11.812","11.812","11.812","11.634","11.634","11.634","12.238","12.238","12.238","12.054","12.054","12.054","11.346","11.346","11.346","11.042","11.042","11.042","12.092","12.092","12.092"
"179","11.856","11.856","11.856","10.782","10.782","10.782","12.582","12.582","12.582","11.854","11.854","11.854","11.798","11.798","11.798","12.582","12.582","12.582","12.416","12.416","12.416","11.53","11.53","11.53","11.398","11.398","11.398","12.298","12.298","12.298"
"185","12.226","12.226","12.226","11.004","11.004","11.004","13.02","13.02","13.02","12.192","12.192","12.192","12.17","12.17","12.17","13.004","13.004","13.004","12.482","12.482","12.482","11.87","11.87","11.87","11.514","11.514","11.514","12.652","12.652","12.652"
"191","12.472","12.472","12.472","11.216","11.216","11.216","13.104","13.104","13.104","12.532","12.532","12.532","12.67","12.67","12.67","13.292","13.292","13.292","12.848","12.848","12.848","11.938","11.938","11.938","11.632","11.632","11.632","12.87","12.87","12.87"
"197","12.866","12.866","12.866","11.608","11.608","11.608","13.384","13.384","13.384","12.706","12.706","12.706","12.768","12.768","12.768","13.656","13.656","13.656","12.944","12.944","12.944","12.29","12.29","12.29","11.814","11.814","11.814","13.096","13.096","13.096"
"203","13.346","13.346","13.346","11.882","11.882","11.882","13.674","13.674","13.674","13.008","13.008","13.008","12.96","12.96","12.96","13.92","13.92","13.92","13.104","13.104","13.104","12.3","12.3","12.3","11.984","11.984","11.984","13.422","13.422","13.422"
"209","13.496","13.496","13.496","12.272","12.272","12.272","13.826","13.826","13.826","13.26","13.26","13.26","13.306","13.306","13.306","14.158","14.158","14.158","13.248","13.248","13.248","12.428","12.428","12.428","12.294","12.294","12.294","13.664","13.664","13.664"
"215","13.78","13.78","13.78","12.664","12.664","12.664","14.216","14.216","14.216","13.55","13.55","13.55","13.64","13.64","13.64","14.426","14.426","14.426","13.472","13.472","13.472","12.81","12.81","12.81","12.302","12.302","12.302","13.938","13.938","13.938"
"221","14.138","14.138","14.138","13.092","13.092","13.092","14.356","14.356","14.356","13.804","13.804","13.804","13.696","13.696","13.696","14.494","14.494","14.494","13.618","13.618","13.618","12.958","12.958","12.958","12.61","12.61","12.61","14.232","14.232","14.232"
"227","14.224","14.224","14.224","13.61","13.61","13.61","14.44","14.44","14.44","13.834","13.834","13.834","14.14","14.14","14.14","14.916","14.916","14.916","13.996","13.996","13.996","13.128","13.128","13.128","12.72","12.72","12.72","14.452","14.452","14.452"
"233","14.41","14.41","14.41","13.972","13.972","13.972","14.628","14.628","14.628","14.28","14.28","14.28","14.422","14.422","14.422","15.19","15.19","15.19","14.01","14.01","14.01","13.366","13.366","13.366","12.852","12.852","12.852","14.684","14.684","14.684"
"239","14.802","14.802","14.802","14.218","14.218","14.218","14.788","14.788","14.788","14.328","14.328","14.328","14.364","14.364","14.364","15.4","15.4","15.4","14.254","14.254","14.254","13.358","13.358","13.358","12.94","12.94","12.94","14.898","14.898","14.898"
"245","14.9","14.9","14.9","14.51","14.51","14.51","14.894","14.894","14.894","14.552","14.552","14.552","14.86","14.86","14.86","15.548","15.548","15.548","14.562","14.562","14.562","13.674","13.674","13.674","13.452","13.452","13.452","15.114","15.114","15.114"
"251","15.158","15.158","15.158","14.992","14.992","14.992","15.266","15.266","15.266","14.856","14.856","14.856","15.054","15.054","15.054","15.956","15.956","15.956","14.664","14.664","14.664","13.812","13.812","13.812","13.506","13.506","13.506","15.148","15.148","15.148"
"257","15.16","15.16","15.16","15.376","15.376","15.376","15.538","15.538","15.538","14.888","14.888","14.888","15.198","15.198","15.198","16.148","16.148","16.148","14.966","14.966","14.966","13.896","13.896","13.896","13.732","13.732","13.732","15.256","15.256","15.256"
"263","15.58","15.58","15.58","15.722","15.722","15.722","15.45","15.45","15.45","15.238","15.238","15.238","15.516","15.516","15.516","16.128","16.128","16.128","14.978","14.978","14.978","14.206","14.206","14.206","14.114","14.114","14.114","15.542","15.542","15.542"
"269","15.662","15.662","15.662","15.962","15.962","15.962","15.678","15.678","15.678","15.332","15.332","15.332","15.628","15.628","15.628","16.358","16.358","16.358","15.146","15.146","15.146","14.412","14.412","14.412","14.298","14.298","14.298","15.646","15.646","15.646"
"275","15.8","15.8","15.8","16.124","16.124","16.124","15.822","15.822","15.822","15.638","15.638","15.638","15.828","15.828","15.828","16.59","16.59","16.59","15.532","15.532","15.532","14.536","14.536","14.536","14.496","14.496","14.496","15.762","15.762","15.762"
