"Step","experiment_12 - Training Accuracy / Epoch","experiment_12 - Training Accuracy / Epoch__MIN","experiment_12 - Training Accuracy / Epoch__MAX","experiment_11 - Training Accuracy / Epoch","experiment_11 - Training Accuracy / Epoch__MIN","experiment_11 - Training Accuracy / Epoch__MAX","experiment_10 - Training Accuracy / Epoch","experiment_10 - Training Accuracy / Epoch__MIN","experiment_10 - Training Accuracy / Epoch__MAX","experiment_9 - Training Accuracy / Epoch","experiment_9 - Training Accuracy / Epoch__MIN","experiment_9 - Training Accuracy / Epoch__MAX","experiment_8 - Training Accuracy / Epoch","experiment_8 - Training Accuracy / Epoch__MIN","experiment_8 - Training Accuracy / Epoch__MAX","experiment_7 - Training Accuracy / Epoch","experiment_7 - Training Accuracy / Epoch__MIN","experiment_7 - Training Accuracy / Epoch__MAX","experiment_6 - Training Accuracy / Epoch","experiment_6 - Training Accuracy / Epoch__MIN","experiment_6 - Training Accuracy / Epoch__MAX","experiment_5 - Training Accuracy / Epoch","experiment_5 - Training Accuracy / Epoch__MIN","experiment_5 - Training Accuracy / Epoch__MAX","experiment_4 - Training Accuracy / Epoch","experiment_4 - Training Accuracy / Epoch__MIN","experiment_4 - Training Accuracy / Epoch__MAX","experiment_3 - Training Accuracy / Epoch","experiment_3 - Training Accuracy / Epoch__MIN","experiment_3 - Training Accuracy / Epoch__MAX"
"545","22.536","22.536","22.536","22.992","22.992","22.992","21.736","21.736","21.736","22.346","22.346","22.346","22.282","22.282","22.282","24.076","24.076","24.076","22.04","22.04","22.04","22.042","22.042","22.042","21.21","21.21","21.21","22.324","22.324","22.324"
"551","22.448","22.448","22.448","23.272","23.272","23.272","21.836","21.836","21.836","22.558","22.558","22.558","22.462","22.462","22.462","24.102","24.102","24.102","22.074","22.074","22.074","22.158","22.158","22.158","21.446","21.446","21.446","22.398","22.398","22.398"
"557","22.702","22.702","22.702","23.196","23.196","23.196","21.73","21.73","21.73","22.634","22.634","22.634","22.674","22.674","22.674","24.376","24.376","24.376","22.494","22.494","22.494","22.542","22.542","22.542","21.614","21.614","21.614","22.424","22.424","22.424"
"563","22.746","22.746","22.746","23.296","23.296","23.296","22.11","22.11","22.11","22.666","22.666","22.666","22.72","22.72","22.72","24.438","24.438","24.438","22.46","22.46","22.46","22.37","22.37","22.37","21.876","21.876","21.876","22.512","22.512","22.512"
"569","22.854","22.854","22.854","23.344","23.344","23.344","22.112","22.112","22.112","22.898","22.898","22.898","22.986","22.986","22.986","24.488","24.488","24.488","22.494","22.494","22.494","22.56","22.56","22.56","22.006","22.006","22.006","22.726","22.726","22.726"
"575","23.054","23.054","23.054","23.576","23.576","23.576","22.064","22.064","22.064","23.036","23.036","23.036","23.042","23.042","23.042","24.714","24.714","24.714","22.758","22.758","22.758","22.61","22.61","22.61","21.856","21.856","21.856","22.792","22.792","22.792"
"581","23.116","23.116","23.116","23.532","23.532","23.532","22.45","22.45","22.45","23.022","23.022","23.022","23.282","23.282","23.282","24.866","24.866","24.866","22.706","22.706","22.706","22.776","22.776","22.776","22.014","22.014","22.014","22.952","22.952","22.952"
"587","23.244","23.244","23.244","23.838","23.838","23.838","22.526","22.526","22.526","23.298","23.298","23.298","23.248","23.248","23.248","24.936","24.936","24.936","22.912","22.912","22.912","23.004","23.004","23.004","22.316","22.316","22.316","23.12","23.12","23.12"
"593","23.392","23.392","23.392","23.894","23.894","23.894","22.604","22.604","22.604","23.41","23.41","23.41","23.358","23.358","23.358","24.85","24.85","24.85","22.942","22.942","22.942","23.076","23.076","23.076","22.298","22.298","22.298","23.072","23.072","23.072"
"599","23.382","23.382","23.382","24.144","24.144","24.144","22.722","22.722","22.722","23.402","23.402","23.402","23.38","23.38","23.38","25.02","25.02","25.02","23.11","23.11","23.11","23.188","23.188","23.188","22.524","22.524","22.524","23.182","23.182","23.182"
