precision,recall,f1-score,support
0.5630252100840336,0.67,0.6118721461187214,100.0
0.3247863247863248,0.38,0.35023041474654376,100.0
0.3088235294117647,0.21,0.25,100.0
0.12307692307692308,0.08,0.09696969696969696,100.0
0.08045977011494253,0.07,0.0748663101604278,100.0
0.18691588785046728,0.2,0.1932367149758454,100.0
0.21929824561403508,0.25,0.23364485981308408,100.0
0.30337078651685395,0.27,0.2857142857142857,100.0
0.3185840707964602,0.36,0.33802816901408456,100.0
0.4583333333333333,0.44,0.4489795918367347,100.0
0.15306122448979592,0.15,0.15151515151515155,100.0
0.24193548387096775,0.15,0.18518518518518517,100.0
0.3425925925925926,0.37,0.3557692307692307,100.0
0.21296296296296297,0.23,0.22115384615384615,100.0
0.23232323232323232,0.23,0.23115577889447236,100.0
0.2,0.19,0.1948717948717949,100.0
0.37333333333333335,0.28,0.32000000000000006,100.0
0.4140625,0.53,0.4649122807017544,100.0
0.3181818181818182,0.28,0.29787234042553196,100.0
0.2875,0.23,0.2555555555555556,100.0
0.5603448275862069,0.65,0.6018518518518519,100.0
0.3125,0.45,0.36885245901639346,100.0
0.2903225806451613,0.27,0.2797927461139897,100.0
0.42718446601941745,0.44,0.4334975369458128,100.0
0.45588235294117646,0.62,0.5254237288135594,100.0
0.14736842105263157,0.14,0.14358974358974358,100.0
0.2465753424657534,0.18,0.20809248554913293,100.0
0.15053763440860216,0.14,0.14507772020725393,100.0
0.46,0.46,0.46,100.0
0.2875,0.23,0.2555555555555556,100.0
0.3217391304347826,0.37,0.3441860465116279,100.0
0.2459016393442623,0.3,0.2702702702702703,100.0
0.25510204081632654,0.25,0.25252525252525254,100.0
0.35789473684210527,0.34,0.3487179487179487,100.0
0.2111111111111111,0.19,0.2,100.0
0.14285714285714285,0.12,0.13043478260869565,100.0
0.2803738317757009,0.3,0.2898550724637681,100.0
0.22340425531914893,0.21,0.21649484536082472,100.0
0.17757009345794392,0.19,0.18357487922705318,100.0
0.27184466019417475,0.28,0.27586206896551724,100.0
0.2641509433962264,0.28,0.27184466019417475,100.0
0.5531914893617021,0.52,0.536082474226804,100.0
0.16216216216216217,0.18,0.17061611374407584,100.0
0.2462686567164179,0.33,0.28205128205128205,100.0
0.19696969696969696,0.13,0.1566265060240964,100.0
0.07446808510638298,0.07,0.07216494845360825,100.0
0.21052631578947367,0.16,0.1818181818181818,100.0
0.42528735632183906,0.37,0.3957219251336898,100.0
0.3916083916083916,0.56,0.46090534979423864,100.0
0.35294117647058826,0.3,0.3243243243243243,100.0
0.11428571428571428,0.08,0.09411764705882354,100.0
0.2265625,0.29,0.2543859649122807,100.0
0.46153846153846156,0.6,0.5217391304347826,100.0
0.373015873015873,0.47,0.415929203539823,100.0
0.33035714285714285,0.37,0.3490566037735849,100.0
0.06666666666666667,0.03,0.041379310344827586,100.0
0.40594059405940597,0.41,0.4079601990049751,100.0
0.3163265306122449,0.31,0.31313131313131315,100.0
0.3979591836734694,0.39,0.3939393939393939,100.0
0.20212765957446807,0.19,0.19587628865979384,100.0
0.7,0.63,0.663157894736842,100.0
0.4111111111111111,0.37,0.3894736842105263,100.0
0.3854166666666667,0.37,0.3775510204081633,100.0
0.27692307692307694,0.36,0.31304347826086953,100.0
0.08333333333333333,0.08,0.08163265306122448,100.0
0.14925373134328357,0.1,0.11976047904191617,100.0
0.1553398058252427,0.16,0.15763546798029557,100.0
0.26595744680851063,0.25,0.25773195876288657,100.0
0.6,0.69,0.641860465116279,100.0
0.4375,0.56,0.4912280701754386,100.0
0.35294117647058826,0.36,0.3564356435643565,100.0
0.43103448275862066,0.5,0.46296296296296297,100.0
0.10416666666666667,0.05,0.06756756756756757,100.0
0.30434782608695654,0.35,0.3255813953488372,100.0
0.19607843137254902,0.2,0.198019801980198,100.0
0.3656716417910448,0.49,0.41880341880341876,100.0
0.4666666666666667,0.63,0.5361702127659574,100.0
0.16666666666666666,0.13,0.1460674157303371,100.0
0.1527777777777778,0.11,0.12790697674418605,100.0
0.24731182795698925,0.23,0.2383419689119171,100.0
0.14893617021276595,0.07,0.09523809523809525,100.0
0.23,0.23,0.23,100.0
0.5384615384615384,0.63,0.5806451612903226,100.0
0.28205128205128205,0.33,0.3041474654377881,100.0
0.14018691588785046,0.15,0.14492753623188406,100.0
0.26865671641791045,0.36,0.3076923076923077,100.0
0.3333333333333333,0.35,0.3414634146341463,100.0
0.3565217391304348,0.41,0.38139534883720927,100.0
0.1958762886597938,0.19,0.19289340101522842,100.0
0.272,0.34,0.30222222222222217,100.0
0.24324324324324326,0.18,0.20689655172413796,100.0
0.3445378151260504,0.41,0.37442922374429216,100.0
0.2826086956521739,0.26,0.27083333333333337,100.0
0.11940298507462686,0.08,0.09580838323353294,100.0
0.5454545454545454,0.6,0.5714285714285713,100.0
0.366412213740458,0.48,0.4155844155844156,100.0
0.2978723404255319,0.28,0.288659793814433,100.0
0.23741007194244604,0.33,0.27615062761506276,100.0
0.0759493670886076,0.06,0.0670391061452514,100.0
0.27692307692307694,0.18,0.21818181818181817,100.0
0.3028,0.3028,0.3028,0.3028
0.2906933277184924,0.30279999999999996,0.29371428481818507,10000.0
0.2906933277184924,0.3028,0.29371428481818507,10000.0
