precision,recall,f1-score,support
0.4,0.44,0.41904761904761906,100.0
0.25688073394495414,0.28,0.2679425837320574,100.0
0.07216494845360824,0.07,0.07106598984771573,100.0
0.08695652173913043,0.06,0.07100591715976332,100.0
0.1,0.06,0.075,100.0
0.11504424778761062,0.13,0.12206572769953052,100.0
0.19148936170212766,0.18,0.18556701030927833,100.0
0.16793893129770993,0.22,0.19047619047619047,100.0
0.15789473684210525,0.21,0.1802575107296137,100.0
0.28703703703703703,0.31,0.2980769230769231,100.0
0.13829787234042554,0.13,0.134020618556701,100.0
0.1511627906976744,0.13,0.13978494623655913,100.0
0.16822429906542055,0.18,0.1739130434782609,100.0
0.19767441860465115,0.17,0.1827956989247312,100.0
0.15217391304347827,0.14,0.14583333333333334,100.0
0.1276595744680851,0.12,0.12371134020618556,100.0
0.2403846153846154,0.25,0.24509803921568626,100.0
0.2698412698412698,0.34,0.30088495575221236,100.0
0.18382352941176472,0.25,0.21186440677966104,100.0
0.056338028169014086,0.04,0.046783625730994156,100.0
0.23125,0.37,0.2846153846153846,100.0
0.3047619047619048,0.32,0.3121951219512195,100.0
0.2222222222222222,0.2,0.2105263157894737,100.0
0.25625,0.41,0.3153846153846154,100.0
0.24456521739130435,0.45,0.3169014084507042,100.0
0.14285714285714285,0.1,0.11764705882352941,100.0
0.12222222222222222,0.11,0.11578947368421053,100.0
0.07563025210084033,0.09,0.0821917808219178,100.0
0.39805825242718446,0.41,0.40394088669950734,100.0
0.1511627906976744,0.13,0.13978494623655913,100.0
0.21621621621621623,0.24,0.2274881516587678,100.0
0.102803738317757,0.11,0.10628019323671498,100.0
0.2441860465116279,0.21,0.22580645161290322,100.0
0.10666666666666667,0.08,0.09142857142857143,100.0
0.09401709401709402,0.11,0.10138248847926268,100.0
0.0625,0.06,0.061224489795918366,100.0
0.18404907975460122,0.3,0.22813688212927755,100.0
0.0851063829787234,0.08,0.08247422680412371,100.0
0.08088235294117647,0.11,0.09322033898305085,100.0
0.17721518987341772,0.14,0.1564245810055866,100.0
0.275,0.22,0.24444444444444446,100.0
0.42574257425742573,0.43,0.42786069651741293,100.0
0.05063291139240506,0.04,0.0446927374301676,100.0
0.18181818181818182,0.22,0.19909502262443438,100.0
0.06172839506172839,0.05,0.055248618784530384,100.0
0.03260869565217391,0.03,0.031249999999999993,100.0
0.0967741935483871,0.09,0.09326424870466321,100.0
0.31958762886597936,0.31,0.31472081218274106,100.0
0.38372093023255816,0.33,0.3548387096774193,100.0
0.22448979591836735,0.22,0.22222222222222224,100.0
0.045454545454545456,0.04,0.0425531914893617,100.0
0.12962962962962962,0.14,0.1346153846153846,100.0
0.46601941747572817,0.48,0.4729064039408867,100.0
0.3793103448275862,0.44,0.4074074074074074,100.0
0.2717391304347826,0.25,0.2604166666666667,100.0
0.046875,0.03,0.036585365853658534,100.0
0.2988505747126437,0.26,0.27807486631016043,100.0
0.1984126984126984,0.25,0.22123893805309736,100.0
0.1891891891891892,0.14,0.16091954022988506,100.0
0.19387755102040816,0.19,0.1919191919191919,100.0
0.4608695652173913,0.53,0.49302325581395345,100.0
0.28346456692913385,0.36,0.3171806167400881,100.0
0.2871287128712871,0.29,0.2885572139303482,100.0
0.2028985507246377,0.14,0.16568047337278108,100.0
0.07608695652173914,0.07,0.07291666666666667,100.0
0.08045977011494253,0.07,0.0748663101604278,100.0
0.05333333333333334,0.04,0.045714285714285714,100.0
0.2597402597402597,0.2,0.22598870056497175,100.0
0.4298245614035088,0.49,0.4579439252336449,100.0
0.25984251968503935,0.33,0.290748898678414,100.0
0.21875,0.21,0.2142857142857143,100.0
0.3333333333333333,0.35,0.3414634146341463,100.0
0.10714285714285714,0.06,0.07692307692307691,100.0
0.23,0.23,0.23,100.0
0.07142857142857142,0.07,0.0707070707070707,100.0
0.30303030303030304,0.3,0.30150753768844224,100.0
0.3387096774193548,0.42,0.375,100.0
0.043478260869565216,0.03,0.03550295857988166,100.0
0.04918032786885246,0.03,0.037267080745341616,100.0
0.09473684210526316,0.09,0.09230769230769231,100.0
0.07,0.07,0.07,100.0
0.08247422680412371,0.08,0.08121827411167513,100.0
0.4485981308411215,0.48,0.463768115942029,100.0
0.19101123595505617,0.17,0.17989417989417988,100.0
0.09523809523809523,0.1,0.0975609756097561,100.0
0.24210526315789474,0.23,0.23589743589743592,100.0
0.2032520325203252,0.25,0.2242152466367713,100.0
0.18421052631578946,0.21,0.19626168224299065,100.0
0.075,0.06,0.06666666666666665,100.0
0.18691588785046728,0.2,0.1932367149758454,100.0
0.21686746987951808,0.18,0.19672131147540986,100.0
0.2845528455284553,0.35,0.3139013452914798,100.0
0.10101010101010101,0.1,0.10050251256281408,100.0
0.1791044776119403,0.12,0.14371257485029942,100.0
0.3103448275862069,0.36,0.3333333333333333,100.0
0.30927835051546393,0.3,0.3045685279187817,100.0
0.18,0.18,0.18,100.0
0.10869565217391304,0.1,0.10416666666666666,100.0
0.11538461538461539,0.09,0.10112359550561797,100.0
0.14150943396226415,0.15,0.14563106796116504,100.0
0.1999,0.1999,0.1999,0.1999
0.19204063131767604,0.1999,0.19392278437247917,10000.0
0.192040631317676,0.1999,0.1939227843724792,10000.0
